analysis,Model,orig_5fold,orig_LOO,orig_LOBO,mod_5fold,mod_LOO,mod_LOBO,d_5fold,d_LOO,d_LOBO
ML panel,CatBoost,0.641553451397,0.6462710442896699,0.5642781562995978,0.7570304348566196,0.7317807810845209,0.6170711504911139,0.11547698345961954,0.08550973679485108,0.052792994191516174
ML panel,XGBoost,0.6357384668872761,0.6454652877219472,0.5769998002449314,0.6360168226315219,0.623515995801623,0.5382667367666051,0.00027835574424583953,-0.021949291920324243,-0.03873306347832628
ML panel,SVR (RBF),0.6147613013710314,0.6373777321639416,0.4894117720086255,0.651280117651361,0.6628760091907915,0.5428393842326125,0.0365188162803296,0.025498277026849925,0.05342761222398695
ML panel,KRR (RBF),-10.29962079625784,-10.416665568066986,-10.292532673171284,-11.645675091561916,-13.332290368577322,-14.898516359601038,-1.3460542953040768,-2.9156248005103365,-4.605983686429754
ML panel,XGBoost-compact,0.6146139173008117,0.600636710268103,0.5371885713168715,0.612931884710087,0.5537201568374612,0.5419339717784175,-0.0016820325907247469,-0.046916553430641716,0.004745400461546034
ML panel,ElasticNet,0.6622050696207142,0.6191376215915221,0.6200291843629162,0.660547367019658,0.6226258149001316,0.6172856830289004,-0.0016577026010562435,0.0034881933086094996,-0.0027435013340157965
ML panel,LightGBM,0.5864704430799272,0.6092473486066694,0.539875936820146,0.5694275101832259,0.539980230560515,0.4814398445641027,-0.017042932896701335,-0.06926711804615437,-0.05843609225604329
ML panel,Baseline (mean),-0.0142042135301554,-0.0218572778827974,-0.1218096930677465,-0.0142042135301554,-0.0218572778827974,-0.1218096930677465,0.0,0.0,0.0
ML panel,M3: σ₀(all elem),0.66574825811178,0.6524897070240354,0.6245751564253905,0.66574825811178,0.6524897070240354,0.6245751564253905,0.0,0.0,0.0
ML panel,Stacking (Ridge),,0.6266043204367666,0.630380623573529,,0.6827576830234368,0.6842810029676805,,0.05615336258667014,0.05390037939415149
ML panel,OLS,0.5594075204590268,0.5038384672155161,0.3303499669830733,0.565142357854798,0.5314081826086767,0.3469656877254827,0.005734837395771297,0.027569715393160665,0.016615720742409412
ML panel,CatBoost-compact,0.6283129215264023,0.6373635922841554,0.5426789204586429,0.6494044705004962,0.6344956800788764,0.6096110414719049,0.021091548974093932,-0.002867912205279044,0.06693212101326207
ML panel,Average Ensemble,,0.6688427665638474,,,0.6946221003747713,,,0.0257793338109239,
ML panel,Ridge,0.6622301532394371,0.6163719273666723,0.6138672811152641,0.646860530066552,0.6105322377532862,0.5668030506645649,-0.01536962317288515,-0.005839689613386101,-0.047064230450699185
ML panel,Random Forest,0.6359770442139466,0.643452493804116,0.58543459546124,0.6152927644732282,0.6211587002609962,0.5867737994824667,-0.020684279740718403,-0.022293793543119778,0.0013392040212266698
ML panel,GPR (Matern),0.3593901254400622,0.4766545771437845,0.3054000666951998,0.6514507585004513,0.6068731904722915,0.5447722648482263,0.2920606330603891,0.13021861332850698,0.23937219815302646
comp-HP hierarchy,M10: σ₀(all)+k(all),,-493.5470856959298,,,-493.0884977257451,,,0.45858797018468067,
comp-HP hierarchy,M12: σ₀(δ)+k(V),,-501.6510273135362,,,-501.3837151242913,,,0.2673121892448762,
comp-HP hierarchy,"M5: k(V,Mn)",,-502.6955151473799,,,-502.71366037179024,,,-0.018145224410318406,
comp-HP hierarchy,M11: σ₀(δ),,-515.6067686102974,,,-515.6872599443797,,,-0.08049133408223952,
comp-HP hierarchy,M15: M3 + SD_GS + SD_GS·d⁻¹/²,,,,,-481.7097424059266,,,,
comp-HP hierarchy,M7: σ₀(V)+k(V),,-500.5935174706892,,,-500.5345392680463,,,0.05897820264294751,
comp-HP hierarchy,M13: σ₀(SD_GS only),,,,,-514.8541181833746,,,,
comp-HP hierarchy,"M8: σ₀(V,Mn)+k(V,Mn)",,-501.4461217487143,,,-501.2738510396671,,,0.1722707090472113,
comp-HP hierarchy,M6: k(all elem),,-495.7557091068514,,,-495.8113437244754,,,-0.055634617624036764,
comp-HP hierarchy,M3: σ₀(all elem),,-494.0034167507091,,,-493.3685238096479,,,0.6348929410611959,
comp-HP hierarchy,M0: Baseline HP,,-518.3440183433721,,,-518.6032330199148,,,-0.25921467654268326,
comp-HP hierarchy,M4: k(V),,-501.962524851417,,,-501.9932048346717,,,-0.030679983254685794,
comp-HP hierarchy,"M9: σ₀(V,Mn,Al)+k(V,Mn)",,-502.4059536386709,,,-502.02458432447406,,,0.3813693141968315,
comp-HP hierarchy,M1: σ₀(V),,-500.8366033726683,,,-500.33427613922345,,,0.5023272334448734,
comp-HP hierarchy,M14: M3 + SD_GS,,,,,-491.1540566762445,,,,
comp-HP hierarchy,"M2: σ₀(V,Mn)",,-501.315315472794,,,-501.469655967749,,,-0.15434049495502222,
SISSO,SISSO Full,,0.6650082153784909,0.3804566662097175,,0.5600586727360293,0.4289703360760067,,-0.10494954264246159,0.04851366986628919
SISSO,SISSO σ₀(comp)+HP,,0.5987605215424779,0.4025366769860831,,0.5987733473666623,0.4025376097406827,,1.2825824184381496e-05,9.327545996140607e-07
SISSO,SISSO k_HP(comp),,0.6188441928336214,0.2658829642300121,,0.6188443425505359,0.2658815606672001,,1.4971691453258273e-07,-1.4035628120301347e-06
